Device_ID,Meter_Name,Time,Model,Watts_Total,Watts_R_Ph,Watts_Y_Ph,Watts_B_Ph,PF_Ave,PF_R_Ph,PF_Y_Ph,PF_B_Ph,VLN_average,V_R_Ph,V_Y_Ph,V_B_Ph,A_average,A_R_Ph,A_Y_Ph,A_B_Ph,Frequency,Wh_received,Load_Hours_Delivered,No_of_interruption,On_Hours,V_R_Harmonics,V_Y_Harmonics,V_B_Harmonics,A_R_Harmonics,A_Y_Harmonics,A_B_Harmonics
13,AUDIO,2026-02-15 21:17:00,LG6400,34819.93,21178.71,8846.28,4794.95,1,0.99,-0.54,0.39,237.70,236.98,238.99,237.15,83.76,103.83,81.61,65.83,51.14,1236536.50,0,15,105:48:42,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:02,LG6400,37211.16,23267.11,9526.19,4417.86,1,0.99,-0.55,0.35,239.10,237.66,241.15,238.50,86.13,110.29,85.35,62.74,51.12,1236558.38,0,15,105:48:44,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:04,LG6400,34699.86,20939.20,9296.52,4464.14,1,0.99,-0.54,0.37,237.78,237.61,238.58,237.17,83.78,102.25,86.03,63.06,51.12,1236576.12,0,15,105:48:46,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:05,LG6400,34907.10,21085.64,9294.53,4526.93,1,0.99,-0.55,0.37,237.77,237.55,238.61,237.15,83.58,102.25,84.95,63.53,51.11,1236585.88,0,15,105:48:47,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:07,LG6400,41089.82,25426.92,10309.46,5353.44,-1,1,-0.51,0.40,238.23,237.50,240.07,237.11,96.05,120.83,96.81,70.50,51.09,1236608.12,0,15,105:48:49,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:09,LG6400,31693.12,19223.04,8590.95,3879.13,1,0.99,-0.57,0.34,238.18,237.46,239.95,237.13,75.73,92.89,76.24,58.06,51.09,1236626,0,15,105:48:51,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:10,LG6400,31014.24,19012.31,8418.74,3583.19,1,0.99,-0.56,0.33,237.74,237.42,238.65,237.15,74.62,92.52,75.37,55.98,51.09,1236643.38,0,15,105:48:52,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:12,LG6400,42884.22,26299.71,10746.67,5837.83,1,1,-0.53,0.40,237.77,237.40,238.72,237.19,99.38,124.06,99.70,74.39,51.08,1236655.38,0,15,105:48:54,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:14,LG6400,29888.60,17783.26,8303.48,3801.86,1,0.99,-0.58,0.34,237.78,237.39,238.76,237.21,72.93,87.53,73.92,57.33,51.08,1236671.62,0,15,105:48:56,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:15,LG6400,28229.40,17071.62,7976.12,3181.67,1,0.99,-0.58,0.31,237.83,237.42,238.81,237.26,68.74,83.82,69.86,52.53,51.09,1236688.50,0,15,105:48:57,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:17,LG6400,46585.55,28763.97,11265.26,6556.32,1,0.99,-0.52,0.40,237.19,237.37,238.81,235.38,107.52,135.30,106.80,80.48,50.56,1236701.50,0,15,105:48:59,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:19,LG6400,47921.06,29594.44,11692.58,6634.03,1,1,-0.52,0.42,237.27,235.78,238.77,237.27,110.30,138.76,111.22,80.92,50.65,1236724.62,0,15,105:49:01,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:21,LG6400,32182.89,19299.72,8852.16,4031.01,1,0.99,-0.55,0.35,238.04,237.53,239.26,237.32,77.77,94.17,79.56,59.57,51.20,1236743.38,0,15,105:49:03,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:22,LG6400,47616.28,29520.71,11517.31,6578.26,-1,1,-0.50,0.42,237.47,237.48,239.22,235.70,108.94,137.12,108.80,80.90,50.76,1236756.50,0,15,105:49:04,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:24,LG6400,35166.67,20989.02,9464.41,4713.25,1,0.99,-0.55,0.37,238.03,237.44,239.15,237.49,84.89,102.12,87.05,65.50,51.13,1236775.38,0,15,105:49:06,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:26,LG6400,37140.84,22845.42,9664.02,4631.40,-1,1,-0.52,0.38,238.04,237.46,239.20,237.44,89.88,111.56,93.13,64.95,51.12,1236797.62,0,15,105:49:08,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:27,LG6400,46403.01,28797.16,11356.98,6248.87,-1,1,-0.50,0.41,235.45,235.30,236.99,234.05,106.38,133.84,107.05,78.24,50.73,1236810.38,0,15,105:49:09,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:29,LG6400,33140.11,20058.42,8810.09,4271.60,1,0.99,-0.54,0.37,237.69,237.55,239.09,236.43,79.88,98.07,79.91,61.66,51.20,1236828.25,0,15,105:49:11,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:31,LG6400,33428.16,20387.47,8908.78,4131.92,1,0.99,-0.53,0.36,237.84,237.59,239.22,236.72,81.63,100.57,83.74,60.58,51.19,1236848.50,0,15,105:49:13,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:32,LG6400,34382.86,21136.84,9149.93,4096.09,1,0.98,-0.57,0.34,239.44,238.15,241.20,238.95,81.67,101.87,82.87,60.27,51.28,1236871.88,0,15,105:49:14,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:35,LG6400,31503.09,18842.25,8739.66,3921.18,1,0.99,-0.55,0.34,237.89,238.13,238.44,237.10,78.07,93.70,81.09,59.42,51.27,1236880.62,0,15,105:49:17,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:36,LG6400,32202.74,19283.41,8854.29,4065.04,1,0.98,-0.56,0.36,237.37,236.56,238.51,237.04,78.06,94.64,80.14,59.39,51.09,1236902.50,0,15,105:49:18,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:38,LG6400,35416.41,22167.61,9178.97,4069.83,1,1,-0.56,0.35,239.13,239.08,240.17,238.13,83.78,106.11,84.55,60.67,51.24,1236924.12,0,15,105:49:20,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:40,LG6400,43533.14,26580.35,10905.30,6047.48,1,0.99,-0.51,0.39,236.66,235.09,238.80,236.10,99.93,124.83,99.40,75.57,50.81,1236944.25,0,15,105:49:22,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:41,LG6400,38395.84,23595.14,9748.11,5052.58,1,0.99,-0.54,0.38,237.27,236.87,238.82,236.13,89.77,112.01,89.07,68.24,50.82,1236954.88,0,15,105:49:23,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:43,LG6400,42059.79,26104.25,10416.87,5538.67,1,1,-0.52,0.39,239.04,238.13,240.57,238.42,98.03,123.81,97.89,72.39,50.84,1236977.62,0,15,105:49:25,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:45,LG6400,46878.83,28818.23,11471.29,6589.31,1,1,-0.52,0.41,236.27,235.21,238.61,235,107.90,134.90,108.19,80.59,50.84,1237001,0,15,105:49:27,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:46,LG6400,38961.98,23523.38,10225.35,5213.25,-1,1,-0.51,0.39,237.56,236.84,238.63,237.22,94.25,114.91,98.04,69.81,50.86,1237022.38,0,15,105:49:28,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:48,LG6400,49884.62,30272.96,12155.25,7456.42,-0.99,1,-0.49,0.44,237.04,236.81,238.64,235.66,117.65,144.30,120.52,88.14,49.97,1237036.38,0,15,105:49:30,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:50,LG6400,57794.79,36019.07,13507.49,8268.22,1,0.99,-0.49,0.43,233.33,232.59,235.76,231.64,133.20,168.59,134.87,96.15,50.29,1237065.25,0,15,105:49:32,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:51,LG6400,39441.66,24082.36,10334.36,5024.94,-1,1,-0.53,0.38,237.59,236.45,239.02,237.31,94.92,116.75,99.75,68.28,51.14,1237087.88,0,15,105:49:33,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:53,LG6400,46452.19,28894.91,11343.62,6213.66,-0.99,1,-0.49,0.40,237.60,236.48,239.02,237.30,107.93,136.36,109.41,78.02,50.46,1237101,0,15,105:49:35,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:55,LG6400,52841.54,32921.70,12420.97,7498.86,-1,1,-0.50,0.42,236.66,235.12,238.96,235.89,118.01,150.95,115.47,87.62,50.85,1237128.12,0,15,105:49:37,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:57,LG6400,33372.78,20430.05,8884.84,4057.88,1,0.99,-0.55,0.35,239.46,238.11,241.36,238.90,79.97,99.51,80.53,59.87,51.16,1237148.25,0,15,105:49:39,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:17:58,LG6400,39287.38,24250.98,9905.41,5130.99,1,0.99,-0.53,0.39,238.98,238.11,239.95,238.86,92.33,115.77,92.27,68.95,51.15,1237159.25,0,15,105:49:40,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:18:00,LG6400,41434.86,25481.84,10476.87,5476.15,1,0.99,-0.53,0.38,237.10,236.58,238.28,236.44,95.66,119,95.99,71.99,51.12,1237182.88,0,15,105:49:42,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:18:02,LG6400,35978.06,21982.04,9487.94,4508.07,1,1,-0.53,0.37,239.61,238.96,241,238.85,86.29,106.70,88.48,63.71,51.11,1237204.50,0,15,105:49:44,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:18:03,LG6400,45608.81,27595.53,11367.45,6645.83,-1,1,-0.53,0.43,237.18,235.66,238.97,236.91,106.68,131.52,108.15,80.37,50.74,1237217.12,0,15,105:49:45,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:18:05,LG6400,38554.54,23475.59,10051.24,5027.71,1,1,-0.53,0.37,236.44,235.64,238.87,234.83,92.02,113.41,94.23,68.44,50.76,1237240.88,0,15,105:49:47,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:18:07,LG6400,32944.70,19869.57,8912.32,4162.81,1,0.99,-0.55,0.36,237.87,237.85,238.75,237,80.43,97.77,83,60.53,51.20,1237259.25,0,15,105:49:49,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:18:08,LG6400,31665.86,19050.71,8850.25,3764.91,1,0.99,-0.56,0.34,237.43,236.49,238.76,237.03,76.45,92.31,79.62,57.41,51.18,1237280.12,0,15,105:49:50,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:18:11,LG6400,32115.61,19203.67,8752.43,4159.51,1,0.99,-0.56,0.34,237.40,236.52,238.71,236.97,77.57,93.10,78.76,60.84,51.16,1237289,0,15,105:49:53,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:18:12,LG6400,30161.08,18078.11,8364.38,3718.59,1,0.99,-0.56,0.34,237.99,238.09,238.82,237.05,74.10,89.46,76.11,56.73,51.16,1237307.50,0,15,105:49:54,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:18:14,LG6400,34285.33,20902.60,9062.79,4319.95,1,0.99,-0.54,0.36,237.53,236.73,238.87,236.98,82.24,101.41,83.39,61.91,51.14,1237328.50,0,15,105:49:56,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:18:16,LG6400,35823.42,21908.05,9426.20,4489.17,1,0.99,-0.53,0.37,237.58,236.78,238.93,237.03,86.51,106.80,88.93,63.79,51.13,1237348.38,0,15,105:49:58,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:18:17,LG6400,31423.66,19041.06,8568.31,3814.30,1,0.99,-0.55,0.34,237.61,236.82,238.95,237.06,77.22,94.22,79.62,57.82,51.13,1237357.12,0,15,105:49:59,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:18:19,LG6400,36219.18,21925.52,9463.37,4830.29,1,0.99,-0.53,0.38,237.62,236.81,238.95,237.10,87.71,107.23,89.66,66.23,51.11,1237378,0,15,105:50:01,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:18:21,LG6400,38418.62,23221.01,9933.89,5263.73,1,0.99,-0.52,0.39,239.01,238.20,240.45,238.38,92.08,112.69,93.95,69.61,51.10,1237399.50,0,15,105:50:03,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:18:22,LG6400,46583.62,28856.91,11230.64,6496.06,1,0.99,-0.51,0.40,235.63,234.08,238.25,234.56,106.48,135.70,104.26,79.49,50.74,1237424.62,0,15,105:50:04,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:18:24,LG6400,42927.47,26511.96,10629.62,5785.89,-1,1,-0.54,0.39,236.25,235.89,238.22,234.63,99.27,125.06,98.27,74.47,50.76,1237436.62,0,15,105:50:06,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:18:26,LG6400,38484.41,23735.72,9762.51,4986.18,1,1,-0.53,0.38,238.74,237.94,240.26,238.03,91.46,114.79,91.83,67.76,51.14,1237457.88,0,15,105:50:08,0,0,0,0,0,0
13,AUDIO,2026-02-15 21:18:27,LG6400,42153.16,25999.94,10539.19,5614.02,1,1,-0.53,0.38,236.71,236.14,238.60,235.40,98.08,122.94,98.63,72.67,50.86,1237481.12,0,15,105:50:09,0,0,0,0,0,0
