Device_ID,Meter_Name,Time,Model,Watts_Total,Watts_R_Ph,Watts_Y_Ph,Watts_B_Ph,PF_Ave,PF_R_Ph,PF_Y_Ph,PF_B_Ph,VLN_average,V_R_Ph,V_Y_Ph,V_B_Ph,A_average,A_R_Ph,A_Y_Ph,A_B_Ph,Frequency,Wh_received,Load_Hours_Delivered,No_of_interruption,On_Hours,V_R_Harmonics,V_Y_Harmonics,V_B_Harmonics,A_R_Harmonics,A_Y_Harmonics,A_B_Harmonics
1,Drishti1,2025-11-24 09:18:31,LG6400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Drishti1,2025-11-24 09:18:36,LG6400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Drishti1,2025-11-24 09:18:41,LG6400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Drishti1,2025-11-24 09:18:46,LG6400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Drishti1,2025-11-24 09:18:51,LG6400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Drishti1,2025-11-24 09:18:56,LG6400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Drishti1,2025-11-24 09:19:01,LG6400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Drishti1,2025-11-24 09:19:06,LG6400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Drishti1,2025-11-24 09:19:11,LG6400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Drishti1,2025-11-24 09:19:16,LG6400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Drishti1,2025-11-24 09:19:21,LG6400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Drishti1,2025-11-24 09:19:26,LG6400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Drishti1,2025-11-24 09:19:31,LG6400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
