[2025-11-24 09:22:33] [INFO] Received stop signal; exiting loop
[2025-11-24 17:35:36] [DRY] Would copy /home/pi/Desktop/offline-setup-12Sep/data/csv/readings_all.csv -> /home/pi/Desktop/test-usb/OfflineDashboard/data/csv/readings_all.csv
[2025-11-24 17:35:36] [DRY] Copy pass would copy 1 file(s) to /home/pi/Desktop/test-usb
[2025-11-24 17:35:36] [INFO] Dry-run: 1 file(s) would be copied to /home/pi/Desktop/test-usb
[2025-11-24 17:35:51] [OK] Copied readings_all.csv -> /home/pi/Desktop/test-usb/OfflineDashboard/data/csv/readings_all.csv
[2025-11-24 17:35:51] [INFO] 1 file(s) copied to /home/pi/Desktop/test-usb
[2025-11-24 17:49:08] [INFO] USB copy service started; interval=5s, cooldown=600s
[2025-11-24 17:49:08] [INFO] No USB mount detected
[2025-11-24 17:49:13] [INFO] No USB mount detected
[2025-11-24 17:49:18] [INFO] No USB mount detected
[2025-11-24 17:49:23] [INFO] No USB mount detected
[2025-11-24 17:49:28] [INFO] No USB mount detected
[2025-11-24 17:49:33] [INFO] No USB mount detected
[2025-11-24 17:49:38] [INFO] No USB mount detected
[2025-11-24 17:49:43] [INFO] No USB mount detected
[2025-11-24 17:49:48] [INFO] No USB mount detected
[2025-11-24 17:49:53] [INFO] No USB mount detected
[2025-11-24 17:49:58] [INFO] No USB mount detected
[2025-11-24 17:50:03] [INFO] No USB mount detected
[2025-11-24 17:50:08] [INFO] No USB mount detected
[2025-11-24 17:50:13] [INFO] No USB mount detected
[2025-11-24 17:50:18] [INFO] No USB mount detected
[2025-11-24 17:50:23] [INFO] No USB mount detected
[2025-11-24 17:50:28] [INFO] No USB mount detected
[2025-11-24 17:50:33] [INFO] No USB mount detected
[2025-11-24 17:50:38] [INFO] No USB mount detected
[2025-11-24 17:50:43] [INFO] No USB mount detected
[2025-11-24 17:50:48] [INFO] No USB mount detected
[2025-11-24 17:50:53] [INFO] No USB mount detected
[2025-11-24 17:50:58] [INFO] No USB mount detected
[2025-11-24 17:51:03] [INFO] No USB mount detected
[2025-11-24 17:51:08] [INFO] No USB mount detected
[2025-11-24 17:51:13] [INFO] No USB mount detected
[2025-11-24 17:51:18] [INFO] No USB mount detected
[2025-11-24 17:51:23] [INFO] No USB mount detected
[2025-11-24 17:51:28] [INFO] No USB mount detected
[2025-11-24 17:51:33] [INFO] No USB mount detected
[2025-11-24 17:51:38] [INFO] No USB mount detected
[2025-11-24 17:51:43] [INFO] No USB mount detected
[2025-11-24 17:51:48] [INFO] No USB mount detected
[2025-11-24 17:51:53] [INFO] No USB mount detected
[2025-11-24 17:51:58] [INFO] No USB mount detected
[2025-11-24 17:52:03] [INFO] No USB mount detected
[2025-11-24 17:52:08] [INFO] No USB mount detected
[2025-11-24 17:52:13] [INFO] No USB mount detected
[2025-11-24 17:52:18] [INFO] No USB mount detected
[2025-11-24 17:52:23] [INFO] No USB mount detected
[2025-11-24 17:52:28] [INFO] No USB mount detected
[2025-11-24 17:52:33] [INFO] No USB mount detected
[2025-11-24 17:52:38] [INFO] No USB mount detected
[2025-11-24 17:52:43] [INFO] No USB mount detected
[2025-11-24 17:52:48] [INFO] No USB mount detected
[2025-11-24 17:52:53] [INFO] No USB mount detected
[2025-11-24 17:52:58] [INFO] No USB mount detected
[2025-11-24 17:53:03] [INFO] No USB mount detected
[2025-11-24 17:53:08] [INFO] No USB mount detected
[2025-11-24 17:53:13] [INFO] No USB mount detected
[2025-11-24 17:53:18] [INFO] No USB mount detected
[2025-11-24 17:53:23] [INFO] No USB mount detected
[2025-11-24 17:53:28] [INFO] No USB mount detected
[2025-11-24 17:53:33] [INFO] No USB mount detected
[2025-11-24 17:53:38] [INFO] No USB mount detected
[2025-11-24 17:53:43] [INFO] No USB mount detected
[2025-11-24 17:53:48] [INFO] No USB mount detected
[2025-11-24 17:53:53] [INFO] No USB mount detected
[2025-11-24 17:53:58] [INFO] No USB mount detected
[2025-11-24 17:54:03] [INFO] No USB mount detected
[2025-11-24 17:54:08] [INFO] No USB mount detected
[2025-11-24 17:54:13] [INFO] No USB mount detected
[2025-11-24 17:54:18] [INFO] No USB mount detected
[2025-11-24 17:54:23] [INFO] No USB mount detected
[2025-11-24 17:54:28] [INFO] No USB mount detected
[2025-11-24 17:54:33] [INFO] No USB mount detected
[2025-11-24 17:54:38] [INFO] No USB mount detected
[2025-11-24 17:54:43] [INFO] No USB mount detected
[2025-11-24 17:54:48] [INFO] No USB mount detected
[2025-11-24 17:54:53] [INFO] No USB mount detected
[2025-11-24 17:54:58] [INFO] No USB mount detected
[2025-11-24 17:55:03] [INFO] No USB mount detected
[2025-11-24 17:55:08] [INFO] No USB mount detected
[2025-11-24 17:55:13] [INFO] No USB mount detected
[2025-11-24 17:55:18] [INFO] No USB mount detected
[2025-11-24 17:55:23] [INFO] No USB mount detected
[2025-11-24 17:55:28] [INFO] No USB mount detected
[2025-11-24 17:55:33] [INFO] No USB mount detected
[2025-11-24 17:55:38] [INFO] No USB mount detected
[2025-11-24 17:55:43] [INFO] No USB mount detected
[2025-11-24 17:55:48] [INFO] No USB mount detected
[2025-11-24 17:55:53] [INFO] No USB mount detected
[2025-11-24 17:55:58] [INFO] No USB mount detected
[2025-11-24 17:56:03] [INFO] No USB mount detected
